,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
2006,20160726,BID,17500.0,17400.0,17600.0,17700.0,858490,-58.51000635074524,46.766961234056225,-85.38350217076905,17.403617054661723,0.0
2007,20160726,BVH,59000.0,57500.0,58000.0,59500.0,299770,-76.24921234668,48.52245824153142,-112.27154046997491,23.82654561987447,0.0
2008,20160726,CTG,17600.0,17400.0,17500.0,17600.0,271180,149.5344305085382,51.1387080566325,3.1754797735771003,0.7156812162263471,0.0
2009,20160726,FPT,40900.0,40800.0,41200.0,41200.0,469520,-311.7808821381477,38.85590901050232,-92.45397531863094,27.975095281370393,0.0
2010,20160726,GAS,59000.0,59000.0,61500.0,61500.0,476690,121.8238669603088,49.34778610537137,-79.95658465991386,16.791197038275328,0.0
2011,20160726,HPG,42300.0,40700.0,40900.0,42300.0,4989480,898.6820701971374,62.44192579474961,79.71464019851122,19.665887553966254,0.0
2012,20160726,KDH,22800.0,22800.0,22900.0,23000.0,119620,-13.495726176268363,48.9426658769738,-31.476997578689026,2.7169623596083627,0.0
2013,20160726,MBB,15100.0,15100.0,15300.0,15300.0,170970,-1.6009761397745024,49.52620382706591,30.120481927718266,12.374557464463452,0.0
2014,20160726,MSN,66500.0,65000.0,67500.0,67500.0,430300,-372.4118533934816,43.30779836124464,-56.14973262032551,20.87718557322284,0.0
2015,20160726,MWG,130000.0,130000.0,133000.0,133000.0,56150,6725.465428272291,64.13622671555808,49.45989937851417,44.78883520185287,0.0
2016,20160726,PDR,12800.0,12500.0,12800.0,12900.0,769000,-400.1720210581225,39.30797662167845,-91.82904510711553,14.978841700276458,0.0
2017,20160726,PNJ,63000.0,62500.0,66000.0,67000.0,260900,-976.7610097649595,44.344151767729294,-134.4202898550725,24.050005933918822,0.0
2018,20160726,SSI,22400.0,22000.0,22200.0,22500.0,1418240,389.4202927845108,52.804291673042435,12.706480304955337,8.005859727186635,0.0
2019,20160726,STB,11200.0,11000.0,11000.0,11200.0,383560,-44.33610786822828,49.03094072348669,-118.29787234042377,10.868204089963346,0.0
2020,20160726,VCB,53000.0,52000.0,53000.0,54000.0,268770,1538.2597094921002,57.547426137167335,51.28437457527338,26.445481085212524,0.0
2021,20160726,VIC,50500.0,49800.0,50500.0,51000.0,266140,-321.9722088790004,47.90838365929235,-57.350486104292244,5.102144392252301,0.0
2022,20160726,VNM,157000.0,153000.0,154000.0,158000.0,1021030,4089.9074767205457,65.88566586273726,131.77470775770567,37.08692755571752,0.0
2023,20160727,BID,17700.0,17400.0,17400.0,17800.0,1091370,-65.81409945508494,48.772384810859194,-72.46376811594374,17.403617054661733,0.0
2024,20160727,BVH,60000.0,58000.0,58500.0,60000.0,188990,-135.80855189311842,50.391885120462454,-76.51991614255887,19.74415076533802,0.0
2025,20160727,CTG,18000.0,17500.0,17600.0,18200.0,1495190,153.11856160433672,54.145492122931344,45.57713052858896,1.4685737497928875,0.0
2026,20160727,FPT,41300.0,41200.0,41300.0,41700.0,554520,-326.4081713744381,41.21229312597097,-68.46693599829746,25.857824925111274,0.0
2027,20160727,GAS,60500.0,59000.0,59000.0,60500.0,431140,-58.82056415189436,51.67406675242284,-98.86201991465201,22.30685852494491,0.0
2028,20160727,HPG,43200.0,42400.0,43100.0,43400.0,7309600,996.083405465899,64.22771341757505,146.69117647058812,35.42378921357694,0.0
2029,20160727,KDH,22900.0,22900.0,22900.0,23000.0,35640,-13.30671979012186,50.26758442537501,-9.009009009009155,2.716962359608359,0.0
2030,20160727,MBB,15200.0,15100.0,15100.0,15300.0,181100,0.5511929085369047,51.211374558003556,15.822784810133582,12.374557464463456,0.0
2031,20160727,MSN,66000.0,64500.0,66000.0,66500.0,732260,-441.5685927333252,41.91595091640867,-128.88888888889474,29.61559439532807,0.0
2032,20160727,MWG,130000.0,129000.0,130000.0,131000.0,57150,6033.54546001929,64.13622671555808,33.926453143534715,37.37293278864083,0.0
2033,20160727,PDR,12600.0,12600.0,12700.0,12800.0,776910,-407.9770026770675,37.863281249842366,-96.20808523973663,17.961015330358897,0.0
2034,20160727,PNJ,66000.0,62500.0,63000.0,66500.0,141750,-1247.7125679735327,48.19018190372696,-135.21758636159723,25.6021887421052,0.0
2035,20160727,SSI,22700.0,22300.0,22300.0,22900.0,1834480,348.36788418703145,54.470303362112894,25.80645161290284,5.988725779476633,0.0
2036,20160727,STB,11200.0,11100.0,11100.0,11300.0,669570,-50.802465356351604,49.03094072348669,-89.45260347129243,5.906106238163156,0.0
2037,20160727,VCB,54500.0,52500.0,52500.0,54500.0,402240,1510.6991091404852,60.0425729223163,57.198811453269,26.445481085212524,0.0
2038,20160727,VIC,51000.0,50000.0,50500.0,51000.0,335420,-322.20044060997316,48.96593875909911,-46.91470976923892,5.102144392252303,0.0
2039,20160727,VNM,158000.0,157000.0,158000.0,159000.0,594750,4250.513491117861,66.6888130393413,142.56304683479283,45.58813699270454,0.0
2040,20160728,BID,17600.0,17500.0,17600.0,17800.0,501590,-78.76318377983262,47.84018087482636,-60.382916053020146,9.150594243222425,0.0
2041,20160728,BVH,59500.0,58500.0,60000.0,60000.0,296000,-220.80679908124148,49.46278501343386,-57.71812080536989,8.294491384624415,0.0
2042,20160728,CTG,17800.0,17800.0,18000.0,18000.0,292440,138.22859573903406,52.47522898057092,42.49667994688125,9.830204923497918,0.0
2043,20160728,FPT,41300.0,41200.0,41300.0,41700.0,512680,-334.1484836534364,41.21229312597097,-75.01674480910742,25.857824925111274,0.0
2044,20160728,GAS,58000.0,57000.0,60000.0,60000.0,434230,-399.09409242768743,47.882550213540966,-115.63800277392556,14.213836089811045,0.0
2045,20160728,HPG,44600.0,43300.0,43300.0,44800.0,5902350,1172.7149224016466,66.77022356758815,184.86646884273026,36.631717996177855,0.0
2046,20160728,KDH,22800.0,22800.0,22900.0,23000.0,34060,-20.9835314179727,48.953456442558796,-32.52032520324972,2.716962359608375,0.0
2047,20160728,MBB,15100.0,15100.0,15200.0,15200.0,205210,-5.74545708642836,49.501670092072935,6.5483618527650794e-12,12.374557464463457,0.0
2048,20160728,MSN,66000.0,62000.0,65500.0,66000.0,1894990,-490.71897450988763,41.91595091640867,-147.03277236493125,33.53872700137744,0.0
2049,20160728,MWG,133000.0,129000.0,130000.0,135000.0,120870,5661.980391100093,65.70726746426323,46.28687690742595,37.37293278864083,0.0
2050,20160728,PDR,12800.0,12600.0,12600.0,12900.0,815920,-393.489557971463,40.13922328435969,-83.3677259595542,17.961015330358897,0.0
2051,20160728,PNJ,65000.0,65000.0,67000.0,67500.0,59720,-1525.542569082856,47.06858949071065,-113.4408602150537,6.916337729679933,0.0
2052,20160728,SSI,23200.0,22700.0,22800.0,23600.0,2509940,352.1169877205575,57.08236445057228,55.447217888715016,3.6309150252075435,0.0
2053,20160728,STB,11200.0,11000.0,11200.0,11200.0,750120,-55.28974092692442,49.03094072348669,-85.39944903581059,5.906106238163159,0.0
2054,20160728,VCB,55000.0,53500.0,54500.0,55000.0,91390,1511.772585226594,60.836311812276854,72.25388311543242,36.41557310637694,0.0
2055,20160728,VIC,52500.0,51000.0,51500.0,53000.0,528660,-199.05931944384793,51.990791444140825,24.61651995150465,4.263838217346263,0.0
2056,20160728,VNM,160000.0,158000.0,158000.0,161000.0,1316550,4487.435494129575,68.23601318504711,144.6697350416724,45.58813699270453,0.0
2057,20160729,BID,17600.0,17400.0,17500.0,17600.0,805210,-88.01086999144172,47.840180874826366,-81.73356602676004,15.500256900497586,0.0
2058,20160729,BVH,59000.0,59000.0,59500.0,60500.0,148750,-324.7673940543391,48.53702521585925,-62.10691823899492,8.294491384624415,0.0
2059,20160729,CTG,17800.0,17700.0,17900.0,18000.0,435450,124.9874052952473,52.475228980570925,35.57207326785453,9.830204923497908,0.0
2060,20160729,FPT,41000.0,41000.0,41300.0,41400.0,241530,-360.3345822743213,39.975786666506366,-102.09790209789999,29.837126633512423,0.0
2061,20160729,GAS,58500.0,56000.0,56500.0,59000.0,342350,-621.2588104220777,48.66190165488293,-151.31578947368473,19.880919262219248,0.0
