Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,894.6,897.4,891.75,897.4,897.4,39720000
2020-01-21,897.97,907.51,897.97,906.52,906.52,57330000
2020-01-22,906.52,909.41,903.27,909.09,909.09,51710000
2020-01-30,908.2,908.2,870.53,875.82,875.82,80140000
2020-01-31,875.43,876.59,848.63,848.63,848.63,83270000
2020-2-3,848.42,848.42,803.73,842.67,842.67,91770000
2020-2-4,842.79,849.8,833.93,845.52,845.52,73130000
2020-2-5,845.65,854.72,840.41,845.31,845.31,63590000
2020-2-6,845.38,862.86,842.68,862.86,862.86,97620000
2020-2-7,862.71,865.91,858.02,863.49,863.49,72830000
2020-2-10,863.28,863.28,848.21,852.87,852.87,46860000
2020-2-11,853.09,859.38,853.09,856.39,856.39,70070000
2020-2-12,856.64,870.1,856.64,863.23,863.23,80780000
2020-02-13,862.72,864.79,858.46,864.16,864.16,58430000
2020-02-14,865.03,868.84,863.14,865.86,865.86,74650000
2020-02-17,865.83,867.45,862.75,866.27,866.27,58440000
2020-02-18,866.06,866.61,858.61,861.71,861.71,60230000
2020-02-19,860.23,865.4,859.65,863.84,863.84,52570000
2020-02-20,864,872.86,864,871.4,871.4,59010000
2020-02-21,871.49,877.52,868.59,868.89,868.89,66760000
2020-02-24,867.56,867.56,837.4,837.4,837.4,95170000
2020-02-25,836.54,849.58,827.81,849.58,849.58,69290000
2020-02-26,849.56,849.56,837.52,841.68,841.68,54640000
2020-02-27,841.19,849.18,836.56,848.34,848.34,55420000
2020-02-28,844.02,844.02,823.09,831.97,831.97,69890000
2020-3-2,831.25,837.99,827.23,835.42,835.42,69310000
2020-3-3,835.14,846.21,835.14,837.99,837.99,64180000
2020-3-4,838.02,839.26,831.2,837.99,837.99,52990000
2020-3-5,838.93,846.58,836.32,839.12,839.12,67020000
2020-3-6,838.77,838.77,827.12,835.97,835.97,53910000
2020-3-9,835.65,835.65,781.12,782.85,782.85,107130000
2020-3-10,782.85,794.88,762.34,789.51,789.51,90060000
2020-3-11,789.75,795.98,746.83,758.16,758.16,99250000
2020-3-12,757.9,757.9,710.33,719.21,719.21,113240000
2020-03-13,715.34,722.3,674.36,716.65,716.65,113470000
2020-03-16,716.65,716.65,688.8,698.18,698.18,74030000
2020-03-17,698,702.36,673.21,699.73,699.73,80440000
2020-03-18,699.73,705.3,695.42,700.65,700.65,77440000
2020-03-19,699.35,699.35,669.04,679.55,679.55,73190000
2020-03-20,679.78,683.55,668.9,673.7,673.7,81170000
